Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
86,40,85,30,False,4,0,1/22/2026 12:27:46 PM,False,0,1,23,27,2447,,4,11,1/22/2026 1:08:33 PM,False,0,0,C9526B13,23,0,17,GF,40/85,1031,1031,Tern
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.5,0,1,0.37,0.32,0,0,0,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
10,2.1,0,1,0.39,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
20,3,0,1,0.42,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
30,4,0,1,0.45,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
40,5.1,0,1,0.49,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
50,5.6,0,1,0.5,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
60,6.7,0,1,0.54,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
70,7.7,0,1,0.57,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
80,8.3,0,1,0.59,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
90,8.5,0,1,0.6,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
100,8.5,0,1,0.6,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
110,8.900001,0,1,0.61,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
120,9.7,0,1,0.63,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
130,10.4,0,1,0.66,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
140,10.8,0,2,0.67,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
150,11.3,0,5,0.69,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
160,11.9,0,5,0.7,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
170,12.7,0,5,0.73,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.05,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
180,13.1,0,5,0.74,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
190,13.6,0,5,0.76,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
200,14.1,0,5,0.77,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
210,14.6,0,5,0.79,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
220,15.3,0,5,0.81,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
230,16,0,5,0.83,0.32,0,0,99,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
240,16.6,0,5,0.85,0.32,0,0,89,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
250,16.8,0,5,0.86,0.32,0,0,86,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
260,17.3,0,5,0.88,0.32,0,0,79,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
270,17.5,0,5,0.88,0.32,0,0,75,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
280,17.9,0,5,0.9,0.32,0,0,71,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
290,18.3,0,5,0.91,0.32,0,0,68,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
300,18.5,0,5,0.91,0.32,0,0,64,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
310,19.3,0,5,0.94,0.32,0,0,59,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
320,19.2,0,5,0.94,0.32,0,0,58,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
330,19.5,0,5,0.95,0.32,0,0,57,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
340,20.4,0,5,0.97,0.32,0,0,52,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
350,20.2,0,5,0.97,0.32,0,0,53,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
360,20.5,0,5,0.98,0.32,0,0,49,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
370,20.9,0,6,0.9899999,0.32,0,0,48,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
380,20.9,0,6,0.9899999,0.32,0,0,47,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
390,21.2,0,6,1,0.32,0,0,46,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
400,21,0,6,0.9899999,0.32,0,0,46,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
410,21.4,0,6,1.01,0.32,0,0,43,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
420,21.9,0,6,1.02,0.32,0,0,42,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
430,21.6,0,6,1.01,0.32,0,0,42,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
440,22.3,0,6,1.04,0.32,0,0,39,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
450,22.8,0,6,1.05,0.32,0,0,36,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
460,22.8,0,6,1.06,0.32,0,0,36,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
470,23,0,6,1.06,0.32,0,0,36,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
480,23.1,0,6,1.06,0.32,0,0,35,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
490,23.2,0,6,1.07,0.32,0,0,34,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
500,23.3,0,6,1.07,0.32,0,0,34,1,0,23,False,False,0,0,0,0,0,4.04,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
