Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
88,30,80,6553,False,1.5,0,10/31/2025 11:51:49 AM,False,0,1,97,53.6,6608,,1.4,70,10/31/2025 1:41:52 PM,False,0,1,B2F10222,97,2,14,GF,30/80,1021,1021,Petrel 3
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.3,0,1,1.2,0.1,0.7,0,0,0,0,28,False,True,1,0,0,0,0,1.5,1098,2584,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10,2,0,1,1.2,0.1,0.7,0,99,0,0,28,False,True,1,0,0,0,0,1.5,1094,2578,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20,1.9,0,1,1.2,0.1,0.7,0,99,0,0,28,False,True,1,0,0,0,0,1.5,1090,2574,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30,2.4,0,1,1.2,0.1,0.7,0,99,0,0,28,False,True,1,0,0,0,0,1.5,1088,2572,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40,3.1,0,1,1.2,0.1,0.7,0,99,0,0,27,False,True,1,0,0,0,0,1.5,1088,2572,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50,3.7,0,1,1.2,0.1,0.7,0,99,0,0,27,False,True,1,0,0,0,0,1.5,1086,2564,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60,3.9,0,1,1.2,0.1,0.7,0,99,0,0,27,False,True,1,0,0,0,0,1.5,1082,2564,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70,4.2,0,1,1.2,0.1,0.7,0,99,0,0,27,False,True,1,0,0,0,0,1.5,1080,2566,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80,4.8,0,1,1.2,0.1,0.7,0,99,0,0,27,False,True,1,0,0,0,0,1.5,1080,2560,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90,4.7,0,1,1.2,0.1,0.7,0,99,0,0,27,False,True,1,0,0,0,0,1.5,1078,2558,N/A,N/A,N/A,GTR and SAC are off,0,0,0
